ordinal,question,expected_answer,actual_answer,route,failure_cluster,latency_ms,estimated_cost_inr,metrics
11,What proactive disclosures must a public authority make under Section 4?,"Section 4(1)(b) requires every public authority to proactively publish, among other things, its organisational structure, functions and duties, powers of officers, norms for discharge of functions, rules and regulations, and details of budget allocations, without a request having to be made.","Under Section 4, public authorities have a mandatory obligation to proactively disclose specific information to minimize the need for citizens to use the RTI Act.

Section 4(2) requires public authorities to make a constant endeavor to provide information proactively through various means, including the internet.

Specifically, Section 4(1)(b) mandates that every public authority must publish the following information within 120 days of the enactment of the Act:

*   Organization structure, functions, duties;
*   Powers and duties of officers;
*   Decision making procedures and supervision chain;
*   Norms for discharge of functions (v) Rules, regulations, instructions, manuals ( vi) Categories of documents held; ( vii) Public consultation arrangements; ( viii) Boards committees; (ix) Directory of officers; (x) Monthly remuneration of all officers; (xi) Budget allocation; (xii) Subsidy programmes; (xiii) Recipients of licenses permits (xiv) Electronic information details (XV ) Citizen access facilities; (xvi) PIO particulars; (xvii) Other prescribed information.

Furthermore, Section 4(3) and (4) require that this information be disseminated in a widely accessible form, considering cost-effectiveness and local languages.",QDRANT,retrieval_miss,20437.341599994397,0.04882,"{""mrr"":0.0,""ndcg"":0.0,""latency_ms"":20437.342,""recall_at_5"":0.0,""faithfulness"":0.8,""precision_at_5"":0.0,""context_relevance"":0.9,""route_correctness"":1.0,""answer_completeness"":0.9,""hallucination_score"":0.1,""citation_correctness"":0.0}"
12,Who can be considered a 'public authority' under the RTI Act?,"Under Section 2(h), a public authority includes any authority or body established by the Constitution, by law made by Parliament or a State Legislature, by a notification or order of the appropriate government, or any body owned, controlled, or substantially financed by government funds, including certain NGOs that receive substantial government funding.","A 'public authority' is any organization established by the government (central, state, local) or substantially financed by the government. This includes ministries, departments, boards, corporations, PSUs, schools, hospitals, and other similar entities.",QDRANT,retrieval_miss,20124.706599999627,0.035436,"{""mrr"":0.0,""ndcg"":0.0,""latency_ms"":20124.707,""recall_at_5"":0.0,""faithfulness"":0.7,""precision_at_5"":0.0,""context_relevance"":0.8,""route_correctness"":1.0,""answer_completeness"":0.6,""hallucination_score"":0.3,""citation_correctness"":0.0}"
13,Can a request for information be rejected on the ground of copyright?,Section 9 allows a PIO to reject a request where providing the information would involve infringement of copyright subsisting in a person other than the State.,"Yes, a request for information can be rejected on the ground of copyright.

According to Section 9 of the Right to Information Act, a Central Public Information Officer or a State Public Information Officer may reject a request for information if providing access to that information would involve an infringement of copyright that belongs to a person other than the State.",QDRANT,retrieval_miss,10213.788699998986,0.030132,"{""mrr"":0.0,""ndcg"":0.0,""latency_ms"":10213.789,""recall_at_5"":0.0,""faithfulness"":1.0,""precision_at_5"":0.0,""context_relevance"":1.0,""route_correctness"":1.0,""answer_completeness"":1.0,""hallucination_score"":0.0,""citation_correctness"":0.0}"
14,When must third-party information be disclosed under Section 11?,"Section 11 requires that when the PIO intends to disclose information treated as confidential by a third party, the PIO must give written notice to the third party within 5 days and invite representations; the third party has 10 days to respond before a final decision is made.","तृतीय-पक्ष की जानकारी का प्रकटीकरण तब किया जा सकता है यदि सक्षम प्राधिकारी इस बात से संतुष्ट हो कि प्रकटीकरण में सार्वजनिक हित, उस तृतीय-पक्ष के हितों को होने वाली किसी भी संभावित क्षति या चोट से अधिक महत्वपूर्ण है। हालाँकि, कानून द्वारा संरक्षित व्यापारिक या व्यावसायिक रहस्यों के मामले में प्रकटीकरण की अनुमति नहीं है।",QDRANT,retrieval_miss,19745.50089999684,0.047852,"{""mrr"":0.0,""ndcg"":0.0,""latency_ms"":19745.501,""recall_at_5"":0.0,""faithfulness"":0.2,""precision_at_5"":0.0,""context_relevance"":0.9,""route_correctness"":1.0,""answer_completeness"":0.1,""hallucination_score"":0.8,""citation_correctness"":0.0}"
15,What is the fee structure for RTI applications under the Chhattisgarh RTI Rules?,"Under the Chhattisgarh RTI Rules, the application fee is Rs. 10, with additional charges for providing copies of documents (typically Rs. 2 per A4/A3 page) and actual cost for larger formats, samples, or inspection beyond the first hour, consistent with the fee schedule notified by the State Government.","The RTI application fee in Chhattisgarh is ₹310 per application, which is a one-time fee.",QDRANT,retrieval_miss,1946.767399997043,0.0119,"{""mrr"":0.0,""ndcg"":0.0,""latency_ms"":1946.767,""recall_at_5"":0.0,""faithfulness"":0.1,""precision_at_5"":0.0,""context_relevance"":0.2,""route_correctness"":1.0,""answer_completeness"":0.0,""hallucination_score"":0.9,""citation_correctness"":0.0}"
16,Who is the appellate authority for a rejected RTI application in a Chhattisgarh government department?,"The first appellate authority is an officer senior in rank to the Public Information Officer within the same public authority, as designated under the departmental RTI rules; the applicant must file the first appeal within 30 days of the rejection or expiry of the response period.","The appellate authority for a rejected RTI application in a Chhattisgarh government department is the First Appeal Authority. As per the rules, this authority consists of designated senior officers in various departments.",QDRANT,retrieval_miss,6889.703100001498,0.025704,"{""mrr"":0.0,""ndcg"":0.0,""latency_ms"":6889.703,""recall_at_5"":0.0,""faithfulness"":0.2,""precision_at_5"":0.0,""context_relevance"":0.3,""route_correctness"":1.0,""answer_completeness"":0.1,""hallucination_score"":0.8,""citation_correctness"":0.0}"
17,Is life and liberty information given faster than the standard 30-day period?,"Yes, Section 7(1) mandates that where the request concerns the life or liberty of a person, information must be provided within 48 hours of receipt of the request.","Yes, information concerning someone's life or physical safety, which falls under the ""life and liberty"" exception, must be provided within 48 hours. This is faster than the standard 30-day period.",QDRANT,retrieval_miss,10708.02709999407,0.032456,"{""mrr"":0.0,""ndcg"":0.0,""latency_ms"":10708.027,""recall_at_5"":0.0,""faithfulness"":0.9,""precision_at_5"":0.0,""context_relevance"":0.9,""route_correctness"":1.0,""answer_completeness"":0.9,""hallucination_score"":0.1,""citation_correctness"":0.0}"
18,What happens if the PIO fails to respond within the prescribed time limit?,"Under Section 7(2), if the PIO fails to give a decision on the request within the time limit specified in Section 7(1), the PIO is deemed to have refused the request, and the applicant may proceed to file a first appeal.","If the PIO fails to respond within the prescribed time limit, it is considered a ""deemed refusal"" under Section 7(2). This means you can appeal the decision immediately. Additionally, if the PIO fails to comply with the time limits, the information shall be provided free of charge as per Section 7(6).",QDRANT,retrieval_miss,11574.122099998931,0.029788,"{""mrr"":0.0,""ndcg"":0.0,""latency_ms"":11574.122,""recall_at_5"":0.0,""faithfulness"":0.9,""precision_at_5"":0.0,""context_relevance"":0.8,""route_correctness"":1.0,""answer_completeness"":0.7,""hallucination_score"":0.1,""citation_correctness"":0.0}"
19,Are BPL (Below Poverty Line) applicants required to pay the RTI application fee?,"No. Section 7(5) exempts persons below the poverty line, as determined by the appropriate government, from paying any fee for filing an RTI application.","No, BPL (Below Poverty Line) applicants are not required to pay the RTI application fee. According to the RTI User Manual, no fee is required from a person below the poverty line under the RTI Rules, 2012. The applicant must, however, attach a copy of the certificate issued by the appropriate government authority.",QDRANT,retrieval_miss,14085.176300002786,0.031508,"{""mrr"":0.0,""ndcg"":0.0,""latency_ms"":14085.176,""recall_at_5"":0.0,""faithfulness"":0.9,""precision_at_5"":0.0,""context_relevance"":0.9,""route_correctness"":1.0,""answer_completeness"":0.9,""hallucination_score"":0.1,""citation_correctness"":0.0}"
20,What powers does the Information Commission have while inquiring into a complaint?,"Section 18(3) gives the Commission the powers of a civil court, including summoning and enforcing attendance of persons, requiring discovery and inspection of documents, receiving evidence on affidavit, and requisitioning public records.","According to Section 18 of the RTI Act, when the Information Commission is inquiring into a complaint, it has the same powers as a civil court. These powers include:

*   Summoning and enforcing the attendance of any person and requiring them to give evidence, either orally or in writing, under oath.
*   Requiring any person to produce documents or other items.
*   Ordering the discovery and inspection of documents.",QDRANT,retrieval_miss,20140.445800003363,0.040984,"{""mrr"":0.0,""ndcg"":0.0,""latency_ms"":20140.446,""recall_at_5"":0.0,""faithfulness"":0.7,""precision_at_5"":0.0,""context_relevance"":0.8,""route_correctness"":1.0,""answer_completeness"":0.6,""hallucination_score"":0.4,""citation_correctness"":0.0}"
